
:Description: 
:Desc_PDOS: Projected density of states for each orbital. Unit=states/eV
:Desc_FERMI_LEVEL: Fermi level energy. Unit=eV
:Desc_BROADENING: Gaussian broadening parameter for DOS calculation. Unit=eV
:Desc_GRID_POINTS: Number of energy grid points for PDOS calculation
:Desc_MIN_E: Minimum energy for PDOS calculation. Unit=eV
:Desc_MAX_E: Maximum energy for PDOS calculation. Unit=eV
:Desc_BAND_NUM: Number of bands included in the calculation
:Desc_KPT_NUM: Number of k-points used in the calculation
:Desc_ATOM_TYPE_NUM: Number of atom types in the system
:Desc_TOT_ORBITALS: Total number of atomic orbitals
:Desc_PROJ_ORBITALS: Total number of projected orbitals
:Desc_VOLUME: Lattice unit cell volume. Unit=Bohr^3
:Desc_CALCULATION_TIME: Total calculation time. Unit=seconds
:Desc_M_INDEX_SUMMED_OVER: Whether the m index is summed over 
:Desc_ORTHOGONALIZE_ATOMIC_ORBITALS: Whether the atomic orbitals are orthogonalized
:Desc_ATOM_INDEX_FOR_PDOS: The index of the atom for which the PDOS is calculated
:Desc_PDOS_INFO: The information of the PDOS
    :Desc_ATOM_TYPE: The type of the atom
    :Desc_ATOMIC_NUMBER: The atomic number of the atom
    :Desc_ATOM_INDEX: The index of the atom
    :Desc_ATOM_POSITION_CARTESIAN: The position of the atom in Cartesian coordinates
    :Desc_ATOM_POSITION_FRACTIONAL: The fractional position of the atom
    :Desc_PDOS_UNIT: The unit of the PDOS value
    :Desc_HEADER_FORMAT: The format of the header


:BASIC_INFO:
:FERMI_LEVEL: 0.696
:BROADENING: 0.272
:GRID_POINTS: 1000
:MIN_E: -0.774
:MAX_E: 17.706
:BAND_NUM: 12
:KPT_NUM: 1
:ATOM_TYPE_NUM: 1
:TOT_ORBITALS: 16
:PROJ_ORBITALS: 16
:VOLUME: 448.293
:CALCULATION_TIME: 0.374
:M_INDEX_SUMMED_OVER: False
:ORTHOGONALIZE_ATOMIC_ORBITALS: False
:ATOM_INDEX_FOR_PDOS: All



:PDOS_INFO:
    :ATOM_TYPE: Al
    :ATOMIC_NUMBER: 13
    :ATOM_INDEX: 0
    :ATOM_POSITION_CARTESIAN: [0. 0. 0.]
    :ATOM_POSITION_FRACTIONAL: [0. 0. 0.]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	1.7787824216 	0.0000005780 	0.0000000176 	0.0000000176 	0.0000000176
	1.7972814665 	0.0000003354 	0.0000000097 	0.0000000097 	0.0000000097
	1.8157805114 	0.0000001928 	0.0000000052 	0.0000000053 	0.0000000053
	1.8342795564 	0.0000001098 	0.0000000028 	0.0000000028 	0.0000000028
	1.8527786013 	0.0000000620 	0.0000000015 	0.0000000015 	0.0000000015
	1.8712776462 	0.0000000346 	0.0000000008 	0.0000000008 	0.0000000008
	1.8897766911 	0.0000000192 	0.0000000004 	0.0000000004 	0.0000000004
	1.9082757361 	0.0000000105 	0.0000000002 	0.0000000002 	0.0000000002
	1.9267747810 	0.0000000057 	0.0000000001 	0.0000000001 	0.0000000001
	1.9452738259 	0.0000000031 	0.0000000001 	0.0000000001 	0.0000000001
	1.9637728708 	0.0000000016 	0.0000000000 	0.0000000000 	0.0000000000
	1.9822719158 	0.0000000009 	0.0000000000 	0.0000000000 	0.0000000000
	2.0007709607 	0.0000000005 	0.0000000000 	0.0000000000 	0.0000000000
	2.0192700056 	0.0000000002 	0.0000000000 	0.0000000000 	0.0000000000
	2.0377690505 	0.0000000001 	0.0000000000 	0.0000000000 	0.0000000000
	2.0562680955 	0.0000000001 	0.0000000000 	0.0000000000 	0.0000000000
	2.0747671404 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	2.0932661853 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	2.1117652302 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	2.1302642752 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	2.1487633201 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	2.1672623650 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	2.1857614099 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	2.2042604549 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	2.2227594998 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	2.2412585447 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	2.2597575896 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	2.2782566346 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	2.2967556795 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	2.3152547244 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
